,Country,EdLevel,YearsCodePro,Employment,Salary,UndergradMajor
60855,34,2,3.0,0,45600.0,4
38021,25,0,2.0,0,27900.0,5
30612,35,0,8.0,0,90285.0,6
25977,23,3,10.0,0,27528.0,3
67049,32,2,5.0,1,67092.0,3
44381,20,0,3.0,0,40212.0,6
9666,14,0,6.0,2,14268.0,6
47302,3,0,3.0,0,38916.0,6
29239,36,0,5.0,0,105000.0,6
48401,14,0,4.0,0,7679.0,6
50382,9,0,11.0,0,71340.0,9
26097,28,1,8.0,0,18336.0,8
68305,14,0,1.0,0,2508.0,9
5940,36,0,10.0,0,85000.0,6
27670,36,0,8.0,0,145000.0,6
3,36,2,8.0,0,90000.0,6
56680,36,0,1.0,0,45000.0,4
13650,36,2,3.0,1,30000.0,6
19304,11,1,5.0,1,16500.0,6
44914,36,0,1.0,0,48750.0,6
27168,35,2,5.0,0,64115.0,6
65445,26,2,10.0,0,29832.0,6
50524,18,1,10.0,0,33510.0,6
18778,10,3,3.0,2,19248.0,3
58177,14,2,17.0,0,10560.0,6
48101,11,3,12.0,0,67021.0,6
47338,23,0,3.0,0,7318.0,9
40844,36,0,10.0,0,127000.0,10
42279,20,0,20.0,0,64620.0,9
58092,23,1,5.0,0,27432.0,6
35578,14,0,10.0,0,20148.0,6
22976,15,2,6.0,0,31356.0,6
66271,36,2,6.0,0,130000.0,6
19959,35,3,8.0,0,235525.0,6
27101,6,0,7.0,0,77865.0,6
21687,2,2,12.0,0,75624.0,6
41140,36,0,8.0,0,60000.0,6
21745,1,0,4.0,0,108795.0,6
29259,36,1,5.0,0,145000.0,6
50841,22,2,25.0,2,140264.0,5
70456,28,3,25.0,0,37752.0,6
15778,19,1,22.0,1,21984.0,6
61109,23,2,4.0,0,20484.0,6
62485,36,0,12.0,0,120000.0,6
52939,18,2,6.0,0,27025.0,6
62193,4,1,12.0,0,44897.0,6
25880,25,2,9.0,0,38472.0,6
33279,1,1,13.0,0,123301.0,6
912,1,0,15.0,2,130550.0,9
65400,27,0,2.0,0,10860.0,6
5254,36,0,10.0,0,65000.0,9
30195,19,1,4.0,0,6912.0,9
1052,11,2,7.0,0,97389.0,6
11287,31,1,7.0,0,46392.0,9
1984,35,0,6.0,0,58881.0,5
57791,31,0,1.0,0,40500.0,6
36579,36,0,7.0,0,80000.0,2
10798,23,0,10.0,2,10344.0,6
19165,36,2,30.0,0,210000.0,6
29560,23,2,3.0,0,51836.0,6
53383,36,0,4.0,0,138000.0,5
29500,14,0,4.0,0,16372.0,5
29934,17,0,3.0,0,65976.0,6
7738,18,0,11.0,2,109992.0,5
70847,36,0,6.0,0,60000.0,6
21241,36,0,2.0,0,197500.0,6
35540,24,0,8.0,0,11964.0,6
53400,36,2,6.0,0,72000.0,6
46853,11,2,20.0,0,116748.0,5
8421,34,2,10.0,0,61312.0,6
21232,36,3,15.0,2,40000.0,4
69866,23,0,3.0,0,21144.0,6
67261,36,0,15.0,0,150000.0,6
3945,10,2,3.0,0,57287.0,6
37379,23,0,20.0,0,135000.0,6
940,31,0,4.0,0,67608.0,6
2933,23,2,7.0,0,35748.0,6
34668,35,0,2.0,0,36637.0,6
26030,36,2,20.0,0,85000.0,9
65163,17,0,15.0,0,140088.0,6
52595,23,0,5.0,0,1644.0,6
57711,28,1,3.0,0,7548.0,5
13254,25,0,2.0,1,17184.0,6
34774,10,3,3.0,0,50771.0,10
31471,23,2,3.0,0,3552.0,9
30179,0,1,10.0,0,12924.0,9
57299,28,0,6.0,0,15096.0,9
70926,23,2,7.0,0,16000.0,6
5976,35,0,5.0,0,45797.0,6
65584,35,0,2.0,0,74324.0,6
59261,31,2,5.0,0,50928.0,6
37494,6,0,3.0,0,41986.0,6
44946,36,0,9.0,0,88899.0,5
68583,35,2,0.5,0,27144.0,6
54397,33,2,3.0,0,11436.0,6
68119,14,1,8.0,2,20100.0,6
40976,36,0,5.0,2,100000.0,6
23059,36,0,0.5,2,74000.0,5
3602,10,0,4.0,0,36664.0,10
40604,14,0,3.0,0,20989.0,5
59823,35,2,15.0,0,139600.0,6
65750,11,0,4.0,0,61616.0,6
70716,36,0,6.0,0,135000.0,6
11012,23,0,10.0,2,10632.0,6
65489,11,1,15.0,0,10810.0,6
66956,23,1,6.0,0,20904.0,6
30307,4,0,5.0,0,14748.0,6
11879,19,1,10.0,2,100000.0,8
498,36,2,15.0,2,250000.0,6
24129,1,0,5.0,0,79783.0,6
58976,11,1,3.0,0,33732.0,8
63047,20,1,6.0,0,43386.0,6
37796,23,0,3.0,0,26832.0,6
21930,31,2,3.0,0,44412.0,6
40243,14,0,2.0,0,3358.0,5
34265,32,3,18.0,1,90417.0,3
60936,36,0,7.0,0,108000.0,5
53901,14,0,5.0,0,4188.0,6
67405,0,3,4.0,0,23160.0,9
53187,1,2,8.0,2,126938.0,9
18271,25,2,17.0,0,60924.0,6
58103,17,0,7.0,0,131328.0,9
47126,14,0,1.0,0,1680.0,6
15953,35,2,12.0,2,179900.0,6
23544,6,1,4.0,0,38169.0,6
58659,23,0,2.0,0,2844.0,9
12310,36,2,7.0,0,105000.0,6
71072,36,0,7.0,0,70000.0,5
69643,4,1,4.0,0,19236.0,6
57323,11,1,0.5,0,12324.0,6
67102,11,0,10.0,0,64859.0,6
1203,36,1,1.0,0,36000.0,3
39621,36,0,25.0,0,120000.0,5
16824,35,1,10.0,0,30095.0,10
58915,19,1,20.0,0,77568.0,6
1521,36,2,3.0,1,24000.0,3
12927,31,0,2.0,0,46392.0,9
19460,36,2,19.0,0,121000.0,6
48133,6,1,29.0,2,90758.0,6
58923,11,0,5.0,0,44320.0,6
43587,31,0,12.0,2,59320.0,6
4047,3,0,20.0,0,71496.0,5
46852,23,0,9.0,0,87324.0,9
16197,9,0,3.0,0,63016.0,6
64105,14,0,4.0,0,13264.0,6
45426,36,0,0.5,0,70000.0,6
37907,10,2,3.0,0,38955.0,6
6241,11,0,21.0,0,137490.0,6
4915,16,0,3.0,0,40101.0,10
9600,16,0,8.0,0,80202.0,3
57339,28,1,2.0,1,25200.0,6
62275,6,0,2.0,0,52942.0,6
63439,23,1,5.0,2,33535.0,6
48782,35,0,9.0,0,168037.0,6
67216,6,2,10.0,2,151263.0,6
30742,20,2,12.0,0,31620.0,3
39256,11,0,4.0,0,61870.0,6
29419,36,0,8.0,0,75000.0,9
31363,23,3,31.0,2,20000.0,5
10591,10,3,15.0,0,45830.0,5
10229,11,1,8.0,0,48121.0,8
12980,23,0,13.0,0,74474.0,6
27006,23,0,2.0,0,16246.0,6
56384,11,2,5.0,0,70264.0,6
58508,25,1,5.0,0,21264.0,6
31463,36,0,6.0,0,105000.0,10
42957,14,0,4.0,0,6720.0,9
15929,22,0,3.0,0,62210.0,6
34242,25,2,12.0,0,51300.0,6
11474,35,2,8.0,0,61498.0,5
377,36,0,7.0,0,232000.0,6
24905,36,0,4.0,0,43000.0,4
67412,36,1,23.0,0,150000.0,6
32555,20,1,7.0,0,54996.0,10
48914,14,0,8.0,0,41885.0,6
28607,28,1,1.0,1,3672.0,6
16900,6,2,7.0,0,56490.0,6
29109,23,0,11.0,0,12048.0,6
59078,32,2,2.0,0,133160.0,6
37447,35,0,12.0,0,132156.0,6
68120,14,0,3.0,0,15358.0,6
33778,5,2,20.0,0,35100.0,0
57884,36,2,6.0,0,90000.0,6
44685,36,0,4.0,0,120000.0,6
68550,30,2,2.0,0,28646.0,6
29026,20,0,5.0,1,21996.0,6
59417,20,0,20.0,0,55776.0,9
5991,1,0,13.0,0,81959.0,3
35203,36,0,2.0,0,65000.0,6
28414,11,0,5.0,0,34368.0,6
63891,36,0,8.0,0,135000.0,6
37882,4,0,13.0,2,26232.0,6
42644,6,1,14.0,0,61071.0,6
12292,14,0,2.0,0,3360.0,9
51092,14,0,1.0,0,4020.0,9
7001,33,0,8.0,0,38400.0,6
68892,4,3,2.0,0,17040.0,6
220,4,0,4.0,0,7344.0,10
12395,25,1,3.0,0,40100.0,6
16526,23,0,16.0,0,35518.0,6
53600,23,2,10.0,0,32652.0,6
52746,36,0,0.5,0,43000.0,3
8379,28,2,3.0,2,54996.0,6
70830,36,0,5.0,0,85000.0,6
27666,18,2,5.0,0,31416.0,6
43091,36,0,4.0,0,64000.0,6
63231,35,0,7.0,0,142980.0,6
57648,9,0,6.0,0,66156.0,6
70915,16,1,31.0,0,91883.0,6
55569,17,0,7.0,0,56040.0,6
38947,36,0,36.0,0,230000.0,6
1804,36,0,10.0,0,106000.0,9
18153,36,0,10.0,0,151875.0,3
53261,36,1,13.0,0,115000.0,6
62916,23,0,3.0,2,15960.0,6
32965,36,2,7.0,0,125000.0,5
63619,30,0,1.0,0,16860.0,6
49636,3,0,6.0,0,45396.0,6
59483,11,0,10.0,0,56424.0,6
8757,23,0,5.0,0,12000.0,6
47841,23,0,14.0,0,15924.0,6
48338,12,2,0.5,0,28105.0,6
37464,15,0,8.0,0,3528.0,9
30274,2,2,5.0,0,41244.0,6
63111,36,2,11.0,0,100000.0,6
44733,36,0,6.0,0,87000.0,6
66860,36,2,10.0,0,150000.0,5
20706,24,0,2.0,0,4332.0,6
2388,23,0,4.0,0,10411.0,6
47450,8,2,7.0,0,64260.0,6
67888,36,2,8.0,0,124000.0,3
66162,35,2,13.0,0,71093.0,6
29335,36,2,2.0,0,80000.0,6
54564,16,2,2.0,0,39996.0,6
11715,1,2,15.0,0,143247.0,6
16902,14,0,5.0,0,7140.0,9
45284,36,2,4.0,0,75000.0,9
34884,29,2,20.0,0,67550.0,5
1277,25,2,2.0,0,16032.0,6
39135,36,0,14.0,0,160000.0,6
7911,23,0,3.0,0,44436.0,6
59951,36,0,3.0,0,78130.0,6
37530,36,0,3.0,0,72500.0,5
14419,36,0,19.0,0,176000.0,6
21402,23,2,13.0,0,18636.0,6
36149,30,3,18.0,0,42393.0,6
55339,14,0,2.0,0,8377.0,5
9289,36,0,18.0,0,150000.0,6
40959,14,0,7.0,0,12524.0,6
26923,36,0,2.0,0,74000.0,6
56706,36,0,5.0,0,100000.0,6
31220,18,3,10.0,0,32364.0,6
60269,14,1,8.0,0,17243.0,5
20137,23,0,4.0,0,6888.0,9
1588,36,2,1.0,0,180000.0,6
8519,6,2,20.0,0,114508.0,6
26304,25,2,4.0,0,33984.0,6
41624,23,0,4.0,0,9600.0,10
64874,36,0,19.0,0,180000.0,9
29138,9,0,1.0,0,34372.0,9
6358,20,0,10.0,2,126032.0,6
45225,36,1,3.0,0,80000.0,6
51903,0,1,5.0,0,19464.0,9
66907,36,0,7.0,0,160000.0,6
66335,10,2,17.0,2,58368.0,6
1533,0,0,10.0,0,16152.0,6
34659,34,1,0.5,0,4764.0,6
12206,21,2,8.0,2,201384.0,6
66139,22,2,1.0,0,53948.0,6
39833,23,1,4.0,0,49500.0,6
41488,23,1,2.0,0,63240.0,5
27254,23,0,4.0,0,24876.0,6
24888,30,0,3.0,0,41247.0,3
47371,3,0,2.0,0,35676.0,6
49739,23,0,16.0,2,64860.0,2
29273,23,0,9.0,0,33852.0,6
50797,11,0,17.0,0,43239.0,10
34587,6,1,22.0,0,198480.0,5
35811,14,0,7.0,0,13293.0,6
23784,30,0,7.0,0,27498.0,6
5893,36,0,24.0,0,91000.0,6
53992,36,1,22.0,0,130000.0,9
41053,36,0,14.0,0,160000.0,0
22734,36,2,1.0,0,120000.0,5
42315,14,0,1.0,0,4368.0,5
14198,36,1,1.0,0,75000.0,4
42650,36,0,10.0,0,114000.0,6
45447,6,0,3.0,0,68068.0,6
11682,11,1,4.0,0,48120.0,6
28483,14,0,2.0,0,5373.0,6
60216,36,0,10.0,0,95000.0,6
11743,36,2,4.0,0,107000.0,4
64420,25,0,1.0,1,26724.0,6
14661,10,2,9.0,0,68745.0,6
44015,36,2,8.0,0,185000.0,6
1839,14,0,2.0,0,5880.0,6
66460,36,3,17.0,2,56000.0,7
4253,6,0,14.0,0,91606.0,5
5742,10,2,23.0,0,82488.0,6
57389,33,0,2.0,0,15528.0,5
15350,1,0,18.0,0,87036.0,6
54041,36,1,0.5,0,46000.0,6
5917,1,0,20.0,2,217600.0,9
45646,36,0,5.0,0,100000.0,6
33567,11,0,8.0,0,63016.0,6
27443,36,0,1.0,0,110000.0,3
17337,25,0,4.0,0,3073.0,6
39010,23,0,3.0,0,5280.0,6
46431,36,2,25.0,0,165000.0,4
51647,36,0,15.0,2,250000.0,2
10271,35,3,14.0,0,71966.0,3
14156,36,0,6.0,0,94000.0,6
63607,36,1,4.0,1,6000.0,2
24258,36,0,6.0,0,78000.0,6
40020,14,0,3.0,2,5317.0,9
55747,18,1,5.0,0,21600.0,6
63441,11,2,3.0,0,75660.0,9
13758,27,2,2.0,0,31812.0,6
63323,6,2,5.0,2,32676.0,6
55613,4,0,10.0,0,14568.0,6
18362,36,3,7.0,0,140000.0,6
52229,4,0,5.0,0,20616.0,6
10079,4,0,4.0,0,18036.0,9
64611,36,1,1.0,1,11250.0,6
62107,14,2,10.0,0,20943.0,6
59434,11,2,1.0,0,48000.0,5
19042,35,2,4.0,0,60190.0,6
6339,10,2,1.0,0,28644.0,5
51014,14,0,12.0,0,30156.0,5
39522,4,2,7.0,0,14748.0,6
18455,3,0,6.0,0,55716.0,6
16169,36,0,27.0,0,162000.0,6
4778,36,2,29.0,0,175000.0,6
70121,20,0,15.0,0,114584.0,6
36057,36,0,9.0,0,180000.0,6
33702,27,2,6.0,0,24576.0,6
39458,35,1,10.0,0,65424.0,6
7152,28,0,5.0,0,16500.0,6
59545,31,1,2.0,0,34368.0,6
51087,26,1,13.0,0,38916.0,6
9401,36,2,12.0,0,220000.0,6
2666,10,0,8.0,0,42622.0,6
10422,11,0,7.0,0,53850.0,6
4417,23,0,2.0,1,4080.0,6
48162,23,0,8.0,0,19320.0,9
26319,23,0,11.0,2,30252.0,6
56709,36,0,15.0,0,104000.0,6
38620,2,0,8.0,0,57287.0,0
9757,7,2,12.0,1,9084.0,6
54986,10,2,8.0,0,54049.0,6
18826,11,0,6.0,0,61465.0,6
1500,36,1,7.0,0,90000.0,9
30458,14,0,20.0,0,30784.0,5
53824,23,0,3.0,0,10800.0,6
42298,23,2,7.0,0,30240.0,6
44385,6,0,6.0,0,69399.0,6
3893,18,3,15.0,0,43538.0,6
55672,4,0,2.0,0,10440.0,6
43606,6,0,24.0,2,60505.0,2
44128,35,2,2.0,0,71093.0,9
14254,8,2,30.0,0,125220.0,6
17231,36,1,1.0,0,60000.0,6
32148,36,1,0.5,1,9000.0,6
14250,26,1,12.0,0,95000.0,6
57845,0,0,10.0,0,20436.0,6
56822,25,2,8.0,0,12756.0,5
11119,11,2,4.0,0,52248.0,6
7778,35,2,22.0,0,98135.0,6
21712,31,2,22.0,0,68928.0,6
63148,36,1,35.0,0,110000.0,2
41363,26,0,15.0,2,27492.0,6
11014,13,1,3.0,1,5628.0,5
19624,14,0,4.0,0,13293.0,6
41207,36,0,7.0,0,58400.0,9
17480,36,0,2.0,1,30000.0,9
37665,36,0,15.0,0,175000.0,6
58318,14,0,4.0,0,20943.0,6
44797,0,1,2.0,0,8172.0,6
23141,30,2,17.0,0,59579.0,6
14750,20,3,22.0,0,80202.0,3
57345,12,1,6.0,0,21408.0,6
33489,29,1,18.0,0,67548.0,6
1664,14,2,9.0,0,22388.0,6
46055,18,0,20.0,0,41077.0,6
34945,36,0,1.0,0,52000.0,9
64158,31,1,23.0,0,61368.0,6
25472,10,2,5.0,0,44684.0,6
65408,11,0,6.0,0,70264.0,6
53483,36,0,1.0,0,82000.0,6
49970,28,0,5.0,0,13212.0,6
30188,4,0,4.0,2,16392.0,6
18483,36,1,2.0,0,45000.0,6
49561,23,0,7.0,0,49560.0,5
63452,14,0,2.0,0,16752.0,9
16610,14,0,5.0,0,40579.0,6
68392,20,0,1.0,0,32424.0,6
34465,10,2,3.0,0,45830.0,6
10284,36,0,14.0,0,145000.0,6
46714,36,0,12.0,0,128750.0,6
48146,23,2,7.0,0,37404.0,9
53906,23,2,10.0,0,53808.0,6
24581,11,2,14.0,2,99000.0,6
63406,14,0,6.0,0,10471.0,6
50350,7,1,10.0,2,78000.0,6
27226,23,2,4.0,0,24108.0,2
49303,35,0,6.0,0,84019.0,6
27346,36,0,4.0,0,60000.0,6
21886,36,0,2.0,0,73000.0,6
56161,36,0,9.0,0,125000.0,6
70116,36,0,10.0,0,96950.0,6
4596,26,3,5.0,0,42624.0,3
66038,20,0,10.0,0,54049.0,6
18674,35,1,2.0,0,75891.0,6
26702,36,0,3.0,0,77500.0,9
65652,14,0,5.0,0,17452.0,6
21227,36,1,18.0,0,145000.0,6
63810,23,0,2.0,0,8652.0,6
27934,14,0,22.0,2,39200.0,10
25776,28,1,1.0,0,7332.0,6
55898,17,1,1.0,0,80260.0,6
56510,36,2,12.0,0,175000.0,6
49053,36,2,6.0,0,105000.0,2
55630,15,0,8.0,2,9972.0,6
8132,4,1,14.0,2,19668.0,6
35062,4,0,3.0,0,8196.0,10
37037,11,0,6.0,0,68745.0,6
30,1,0,2.0,0,36265.0,9
55712,18,0,2.0,0,29186.0,6
65235,20,0,20.0,1,84312.0,6
39845,10,2,2.0,0,38955.0,6
62409,36,2,6.0,0,95000.0,7
34335,36,2,8.0,0,56000.0,6
6119,18,2,2.0,0,45830.0,3
9535,6,0,3.0,0,64000.0,6
57216,15,0,3.0,0,4272.0,6
22382,36,3,0.5,0,125000.0,1
17663,4,1,2.0,0,9840.0,3
20333,23,0,3.0,0,22979.0,5
68064,23,0,4.0,0,11436.0,6
48746,15,2,13.0,0,17100.0,6
23722,14,0,23.0,0,6000.0,6
44103,36,0,15.0,0,150000.0,7
6342,36,2,28.0,0,100000.0,6
51118,14,0,4.0,0,15912.0,6
63461,35,0,10.0,0,52738.0,6
11450,27,0,1.0,0,13008.0,6
15342,36,1,1.0,0,80000.0,3
53831,36,0,16.0,0,155000.0,5
59834,14,0,3.0,0,17452.0,6
23096,36,0,12.0,0,90000.0,6
28828,36,0,3.0,0,132000.0,6
19590,36,0,9.0,0,174000.0,0
17837,25,0,2.0,1,8016.0,6
28734,8,2,33.0,0,119700.0,6
32706,14,2,5.0,2,6720.0,6
38747,14,2,2.0,0,2520.0,6
50102,35,0,6.0,0,77556.0,2
70599,4,1,1.0,1,4944.0,6
45945,35,0,1.0,0,30376.0,6
35700,30,2,15.0,0,108846.0,6
15507,36,2,15.0,0,115000.0,6
66685,35,3,1.0,1,31539.0,3
57675,26,2,11.0,0,29832.0,6
21221,23,1,1.0,0,1800.0,3
22605,36,0,5.0,0,65000.0,5
51495,11,0,11.0,0,55130.0,6
23460,36,0,3.0,0,105000.0,6
14269,14,0,4.0,0,15392.0,6
56527,36,3,6.0,0,129718.0,6
41836,23,0,3.0,0,77629.0,3
57200,11,1,3.0,0,54049.0,5
69543,35,2,7.0,1,96945.0,6
69329,30,2,21.0,0,54049.0,3
60088,36,2,6.0,0,105000.0,5
18850,23,0,7.0,0,57287.0,6
10319,14,1,15.0,0,32400.0,6
63911,24,0,3.0,0,4668.0,6
25814,15,0,10.0,0,1716.0,6
20999,22,2,0.5,0,56285.0,6
29982,36,0,20.0,0,104000.0,6
8310,20,0,5.0,0,37464.0,6
43115,36,0,0.5,0,72000.0,6
15612,14,3,3.0,0,6048.0,5
8538,13,2,10.0,0,108264.0,6
52594,0,2,8.0,0,29196.0,6
23562,36,2,9.0,0,170000.0,6
32190,32,0,5.0,0,110509.0,6
60445,23,0,4.0,0,18060.0,6
24546,9,1,12.0,0,48121.0,5
11118,0,3,3.0,0,12000.0,9
24965,11,0,14.0,0,97389.0,6
13989,21,1,23.0,0,103455.0,3
66104,17,0,2.0,0,87556.0,6
30618,7,0,10.0,0,33672.0,9
11722,11,0,10.0,1,64620.0,5
41746,36,0,3.0,0,174000.0,6
58273,11,2,15.0,0,108098.0,6
34575,23,0,0.5,0,55116.0,6
6679,36,1,22.0,0,220000.0,5
15868,14,2,6.0,0,14436.0,6
34406,36,2,7.0,0,120000.0,6
70333,31,2,6.0,0,49704.0,6
196,1,0,18.0,0,60924.0,6
42784,12,2,6.0,0,26124.0,6
20937,14,0,19.0,0,4368.0,9
41179,0,1,16.0,2,42000.0,6
3141,11,0,6.0,0,68745.0,6
57722,3,2,10.0,0,92964.0,5
14608,25,2,17.0,0,86580.0,6
53001,23,1,7.0,2,22584.0,7
31790,6,0,5.0,0,95423.0,6
6730,4,0,5.0,0,19668.0,6
68771,14,2,4.0,0,7536.0,6
29275,23,0,10.0,2,17900.0,6
8549,36,0,3.0,0,95000.0,3
49762,14,0,1.0,0,3852.0,5
67166,36,0,4.0,0,105000.0,6
21833,36,2,3.0,0,91000.0,6
9604,35,1,22.0,2,62808.0,5
25821,6,0,1.0,0,53437.0,6
5787,36,2,4.0,0,161000.0,5
59343,14,0,3.0,0,5026.0,6
13452,34,2,2.0,0,18000.0,5
49090,8,1,3.0,0,63396.0,6
46089,36,0,7.0,0,140000.0,6
36361,36,0,3.0,0,85000.0,6
1757,36,0,5.0,2,125000.0,3
19015,10,1,8.0,2,23376.0,10
3277,11,1,11.0,0,60492.0,9
54743,34,2,25.0,2,80000.0,5
39157,35,2,6.0,0,78508.0,5
43153,32,1,4.0,0,13060.0,6
8551,14,1,8.0,0,16788.0,5
37457,35,2,20.0,0,78508.0,4
51099,23,0,0.5,1,8304.0,6
59329,4,1,1.0,1,2988.0,6
54263,11,0,10.0,0,91883.0,6
41189,36,0,31.0,0,106000.0,6
64144,3,0,2.0,1,29197.0,6
45464,36,0,6.0,0,117200.0,6
11585,14,2,0.5,0,4200.0,5
8704,28,0,30.0,0,27504.0,9
3566,36,1,7.0,0,165000.0,6
30260,36,0,0.5,0,66000.0,9
19849,23,0,3.0,0,33792.0,6
16854,23,3,12.0,0,37980.0,6
43247,20,2,0.5,0,41591.0,5
47043,1,0,18.0,0,70150.0,6
61094,23,1,2.0,0,20676.0,9
39330,17,0,10.0,1,131952.0,6
50476,35,0,34.0,2,148650.0,5
29014,14,0,13.0,0,22291.0,9
67898,14,0,2.0,0,13404.0,6
5647,10,0,19.0,2,124887.0,6
26813,21,0,29.0,0,86212.0,6
46267,23,2,14.0,0,37200.0,6
6112,11,2,8.0,0,93951.0,6
31800,6,2,6.0,0,76339.0,6
16282,10,2,4.0,0,54423.0,9
16688,6,2,5.0,0,114508.0,5
67802,23,2,6.0,0,37236.0,6
59005,7,2,15.0,0,41568.0,6
18862,15,2,2.0,0,5700.0,6
16536,36,0,3.0,0,84000.0,0
68214,34,2,2.0,0,12750.0,6
49400,11,2,13.0,0,70264.0,6
51143,14,0,5.0,0,5028.0,6
56302,6,2,7.0,0,49160.0,3
28215,6,0,20.0,2,167945.0,6
4038,6,0,5.0,0,83972.0,6
31020,15,0,6.0,0,21660.0,6
46469,36,0,4.0,0,65000.0,3
39145,35,0,10.0,0,85051.0,6
61829,23,0,4.0,0,3672.0,6
17802,36,0,5.0,0,86000.0,6
4702,11,0,3.0,0,48120.0,6
28588,36,1,18.0,0,85000.0,6
66180,2,0,3.0,1,60535.0,6
35348,24,1,4.0,0,5196.0,10
5561,35,0,3.0,0,34020.0,9
7023,4,1,5.0,0,14748.0,10
28714,23,2,0.5,0,7176.0,10
56287,5,1,1.0,2,18000.0,10
7374,11,0,4.0,0,53850.0,5
36093,36,0,3.0,0,91000.0,4
7731,11,2,7.0,0,61870.0,6
69561,29,0,32.0,2,106476.0,6
11431,35,0,14.0,2,78508.0,5
69309,23,2,1.0,0,7224.0,6
19824,36,0,5.0,0,46000.0,9
45328,4,1,4.0,0,15120.0,6
21715,36,0,7.0,0,200000.0,6
35316,36,1,15.0,0,86000.0,5
6690,14,0,6.0,0,12924.0,6
27013,7,0,17.0,0,64152.0,6
9309,36,2,20.0,0,100000.0,2
35204,36,0,29.0,0,97000.0,9
13153,35,0,1.0,0,36637.0,6
57987,14,2,17.0,2,25000.0,6
33209,36,0,11.0,0,200000.0,6
3560,23,3,12.0,0,105000.0,6
39378,36,0,8.0,0,190000.0,6
45707,20,0,4.0,0,51888.0,5
49030,23,3,1.0,0,15228.0,3
7815,28,1,4.0,0,10080.0,9
63835,35,0,24.0,0,51704.0,6
6879,4,0,2.0,0,10488.0,9
32411,14,0,2.0,2,8400.0,6
8672,11,0,4.0,0,26400.0,6
42922,14,0,3.0,0,23788.0,6
35766,36,0,30.0,0,230000.0,9
14105,36,0,22.0,0,156000.0,0
53246,6,0,10.0,0,80925.0,6
23098,6,0,7.0,2,91606.0,6
36687,14,0,0.5,0,4338.0,6
43895,36,0,10.0,0,140000.0,4
8256,36,2,6.0,0,110000.0,6
12656,0,1,6.0,0,14136.0,6
8189,10,3,3.0,0,54996.0,6
28959,35,3,22.0,0,111220.0,6
8694,6,1,10.0,2,190846.0,2
57544,33,0,7.0,0,12324.0,6
21110,34,2,6.0,0,78508.0,6
50534,4,0,12.0,0,32664.0,6
57259,26,0,15.0,2,31128.0,6
46987,23,0,4.0,0,18684.0,6
67952,14,2,13.0,0,36300.0,6
57313,15,2,5.0,0,1716.0,6
28050,33,0,4.0,0,2532.0,6
35563,9,1,2.0,0,37128.0,6
26263,25,2,10.0,0,24048.0,6
41789,36,0,5.0,0,68000.0,9
50322,27,2,10.0,0,48852.0,9
28058,28,3,2.0,2,14664.0,6
34585,35,0,3.0,0,45797.0,6
64846,36,0,15.0,0,140000.0,6
59850,36,1,3.0,0,55000.0,6
26275,36,1,20.0,0,75000.0,8
57139,15,0,8.0,0,21372.0,6
43666,36,0,24.0,2,165000.0,5
29264,4,1,3.0,2,14748.0,9
39572,0,0,18.0,0,38760.0,6
21216,33,2,2.0,0,5760.0,6
50970,31,0,5.0,0,50316.0,6
165,30,2,2.0,0,21769.0,6
15226,4,1,0.5,0,4920.0,6
52810,36,1,2.0,0,55000.0,10
66284,23,0,3.0,0,12360.0,6
22517,36,0,15.0,0,136000.0,4
49569,3,2,2.0,0,36324.0,6
4500,25,2,5.0,0,53712.0,9
64720,23,0,2.0,2,3288.0,3
40881,36,1,25.0,0,123000.0,6
27085,11,0,0.5,0,55454.0,6
2942,11,1,20.0,0,91660.0,6
63106,6,1,20.0,0,189078.0,6
1732,36,0,1.0,0,35000.0,0
20513,22,1,4.0,1,59247.0,6
6872,36,0,4.0,0,126000.0,3
7397,10,2,6.0,0,32172.0,4
59626,23,0,2.0,0,24720.0,9
17681,4,1,4.0,0,5412.0,5
61364,11,2,14.0,0,57072.0,6
50602,35,1,5.0,0,91774.0,3
47918,33,0,4.0,0,7884.0,6
58322,11,1,30.0,2,183767.0,6
977,6,1,17.0,0,103057.0,6
55935,36,0,5.0,0,92000.0,3
18400,28,0,2.0,0,7332.0,6
22632,36,0,3.0,0,63000.0,6
26887,36,1,4.0,0,85000.0,6
32336,11,2,4.0,0,91660.0,6
5020,11,3,10.0,0,77952.0,9
30223,36,1,15.0,0,110000.0,3
30574,19,0,16.0,0,78400.0,6
12006,30,1,7.0,0,37810.0,9
50215,24,0,4.0,0,9336.0,6
42100,14,0,1.0,0,10495.0,6
54523,11,0,4.0,0,59454.0,6
50426,14,0,7.0,0,16754.0,6
51797,23,0,1.0,0,5280.0,6
66762,36,2,1.0,0,63000.0,6
24126,18,0,4.0,2,17186.0,3
14968,31,1,8.0,0,54348.0,6
37171,35,3,4.0,0,52339.0,6
9923,36,0,6.0,0,110000.0,6
10842,10,2,3.0,2,137484.0,6
2091,1,0,2.0,0,58024.0,3
13238,36,0,5.0,0,97759.0,6
17925,36,1,10.0,0,70000.0,10
37582,31,1,2.0,0,51696.0,6
2901,30,3,12.0,0,59579.0,6
46325,36,0,5.0,0,182000.0,4
5352,35,2,3.0,0,72620.0,6
13364,23,2,22.0,2,61870.0,5
18152,36,0,14.0,0,62000.0,6
3628,33,0,5.0,0,34560.0,5
11426,36,0,8.0,0,180000.0,4
